image_name,ocr_confidence,username,rating,date,text
fake-tiktok-comment-generator.jpg,95.0,,,,
image copy 10.png,86.8157894736842,"“Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in people. It is forgetting self ™ and finding time for others, It’s discarding the meaningless and stressing the trug",,,"“Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in people. It is forgetting self ™ and finding time for others, It’s discarding the meaningless and stressing the trug"
image copy 11.png,73.42105263157895,,,,"Y arc , trip was even .-better than we had Wi.expected and the *service was excellent. A x,/ really hope | can go ie the trip again. weelnstant five star forsure! j FITNESS GURU AND TRAVEL FREAK"
image copy 12.png,94.05,Update Failed No reason. It's just the fact that today is Tuesday and | didn't feel like doing anything!,,,Update Failed No reason. It's just the fact that today is Tuesday and | didn't feel like doing anything!
image copy 13.png,95.0,,,,
image copy 14.png,95.0,,,,
image copy 15.png,95.0,,,,
image copy 16.png,95.0,,,,
image copy 17.png,78.75,"|can just say, — WOW! That was” a fascinating experience! | Definitely highly recommend.",,,"|can just say, — WOW! That was” a fascinating experience! | Definitely highly recommend."
image copy 2.png,95.0,,,,
image copy 3.png,95.0,,,,
image copy 4.png,95.0,,,,
image copy 5.png,86.55555555555556,Ask your agent questions Cc (*) Sleep Find your on a decision dream home,,,Ask your agent questions Cc (*) Sleep Find your on a decision dream home
image copy 6.png,55.5,"“ - a NM very friendly staff and of : =cofte ‘and desserts Hight etommen . Blac cee visitors. Our cellent fodd,' 7",,,"“ - a NM very friendly staff and of : =cofte ‘and desserts Hight etommen . Blac cee visitors. Our cellent fodd,' 7"
image copy 7.png,86.8076923076923,"The event was a huge and great success. We all learned a lot from great motivators. , | will definitely © recommend this to everyone",,,"The event was a huge and great success. We all learned a lot from great motivators. , | will definitely © recommend this to everyone"
image copy 8.png,95.0,,,,
image copy 9.png,86.8157894736842,"“Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in people. It is forgetting self ™ and finding time for others, It’s discarding the meaningless and stressing the trug",,,"“Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in people. It is forgetting self ™ and finding time for others, It’s discarding the meaningless and stressing the trug"
image copy.png,95.0,,,,
image.png,0,,,,
licensed-image.jpg,95.0,,,,
unnamed (1).jpg,95.0,,,,
unnamed.jpg,95.0,,,,
