image_name,psm,oem,confidence,text
fake-tiktok-comment-generator.jpg,3,1,95.0,
fake-tiktok-comment-generator.jpg,6,1,22.2,as bore Uemeren vetisored tin
fake-tiktok-comment-generator.jpg,11,1,10.071428571428571,"anekel_nanenrk scar turem ipsum -dolapsit.amet;consectetur adiplesing elt. - Ra, SDE siblexto: eerenes MoOdEAiase  egly"
fake-tiktok-comment-generator.jpg,13,1,0.0,*SEaee *
image copy 10.png,3,1,86.8157894736842,"“Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in people. It is forgetting self ™ and finding time for others, It’s discarding the meaningless and stressing t"
image copy 10.png,6,1,77.38095238095238,“Christmas ts the spirit of givin 2 a thought of getting. It is happinesSagm we see joy in people. It is forgetting self ™ and finding time for others. It’s discarding the meaningless and stressing th
image copy 10.png,11,1,79.88636363636364,> | “Christmas ts the spirit of givin g a thought of getting. It is happines# S we see joy in people. It is forgetting se and finding time for others. It’s discardl the meaningless and stressing the t
image copy 10.png,13,1,21.0,4
image copy 11.png,3,1,73.42105263157895,"Y arc , trip was even .-better than we had Wi.expected and the *service was excellent. A x,/ really hope | can go ie the trip again. weelnstant five star forsure! j FITNESS GURU AND TRAVEL FREAK"
image copy 11.png,6,1,60.23913043478261,"id whe neey, ney 7 Mire trip was even ; better than we had Wi.expected and the | i *'service was excellent. ; By. really hope | can go | at the trip again. q Instant five star .  for sure! 4 | SHANIA "
image copy 11.png,11,1,81.76190476190476,"db one, hy a Bere trip was even etter than we had expected and the bi service was excellent eally hope | can go to the trip again. \. Instant five star for sure! wf SHANIA FITNESS GURU AND TRAVEL FREA"
image copy 11.png,13,1,43.0,a
image copy 12.png,3,1,94.05,Update Failed No reason. It's just the fact that today is Tuesday and | didn't feel like doing anything!
image copy 12.png,6,1,45.876543209876544,"wes = cr » fe SSR: Pi SxMeNS One Se fr a \\e se 4 eenrs Brees Update Failed ie Awe ee a os No reason, It's just the fact that ' : today is Tuesday and | didn't feel . like doing anything! “ OK = . ae "
image copy 12.png,11,1,47.65432098765432,Rt SR SS a Ry ae ans aa Sy portale BS ni aad Rie ye EAS at pet a Se Pee x ney “he & URE San ER nS Paty 4 Ls $1 hat nT Ey oy ai +f) ‘ wisi © Update Failed 4 No reason. It's just the fact that today is 
image copy 12.png,13,1,38.0,ys
image copy 13.png,3,1,95.0,
image copy 13.png,6,1,62.92,lk was.such a great experience te work with Karen. (will highly recornmend. her service. Allthe insightful advice really helped me to “Su agp — medial
image copy 13.png,11,1,55.073170731707314,lr Was SUICH B preat exp ence to worl with Karen. i ‘wail ar Arrierd highly ree her service. All: the inst na A advice really hy hel * Biv gee te a the o rall Sales. Leu Rg ey Sly
image copy 13.png,13,1,80.0,=
image copy 14.png,3,1,95.0,
image copy 14.png,6,1,28.75,"w if , ta"
image copy 14.png,11,1,35.73170731707317,"Tentinantal Sm fie we tel Getty brewery an ee. 2 ae GS Wee apaiegiiogy con celine hmmaapel toy TP Gene, oy Sa: oe eee wee bi ee agen © queens: © we ery nel: ee Sie eee op ie arias Eekenn'"
image copy 14.png,13,1,42.0,=!
image copy 15.png,3,1,95.0,
image copy 15.png,6,1,27.93258426966292,"8 ke ay an a te BR . Bai re ae . og. ” . 4 i tee te ow . Saal C ED sectcesed, Qe 2 PTS aan ah | aera aie te > See Hoos rn 2 4 ; . a a Ss . ‘ Bom ee! -"" mers =. hh ar 9 ae ERPPCRKERYAN +7 dé Ta Meee 3."
image copy 15.png,11,1,39.2,oe e? ae eee oe we Wey n et 38 % ” ot A Rs *. ¥ ae Fas a ae ae rat whe we oe ae 4.8 yf oar . Sars 1 a4 wate ay see ‘RY AN” > Bee Instagram Guru ou wf ody fa . oe modif.ai s aca Eso nS .
image copy 15.png,13,1,18.0,eS
image copy 16.png,3,1,95.0,
image copy 16.png,6,1,28.960526315789473,"poe : lA im ee ; ii 7 | ame tf twee We bee TE eh tr, ee ea! . A N ) PAPE es Oca e AT . . oF, ZW - > sy e rR es a ee oe foo, 4 , Dae AEE fos ee OS i q oe te ee ee eo ‘ - te yee re te oat ” Toh, tea pea"
image copy 16.png,11,1,30.462962962962962,"SN ~ ro A * we a a & ae aX aS a “ie J} i a a . a Me fey Bb RF fe eR eis nese, age Fs re Be aS le 3 ve of re are LOS ty a he ye ae co ray i Ve wie ts meyer mcs ne sal ee AO seb. are ancgmee: ts Bs fg o"
image copy 16.png,13,1,59.0,on
image copy 17.png,3,1,78.75,"|can just say, — WOW! That was” a fascinating experience! | Definitely highly recommend."
image copy 17.png,6,1,57.96551724137931,"|can just say, | fo bes t Mann WOW! That was” ¥ BREO Pourba 1 @ fascinating om perience! — Definitely highly * ' recommend. | ‘ i |"
image copy 17.png,11,1,75.22222222222223,"a9 | can just say, On t Mann WOW! That was” a fascinating EO,Wourb experience! Definitely highly recommend."
image copy 17.png,13,1,47.0,Sen
