image_name,ocr_confidence,username,rating,date,text
WhatsApp Image 2025-12-08 at 18.40.15_e8df921e.jpg,57.875,nn bo eh cari) wy,,,nn bo eh cari) wy
WhatsApp Image 2025-12-08 at 19.41.17_78d4b2fd.jpg,56.875,won @Dwait ne: ARR ‘Oe,,,won @Dwait ne: ARR ‘Oe
WhatsApp Image 2025-12-08 at 19.41.08_7ef497a8.jpg,55.285714285714285,weit TBS: RHR SUOEY,,,weit TBS: RHR SUOEY
WhatsApp Image 2025-12-08 at 19.41.12_6ffaa407.jpg,62.0,we @Daapas- WHR SOs vist D Se EEE,,,we @Daapas- WHR SOs vist D Se EEE
image copy 3.png,95.0,,,,
WhatsApp Image 2025-12-08 at 18.01.57_d75fc0f2.jpg,73.5546218487395,,5.0,,"5:58 @ mag sor P79, © Verified Purchase: Apr, 2O24 2 - Ciba. SimpIy awesome. Raview for. BEE Year 2O24 : Capacity 183 L - CoIor Cameiiia BIue + Star Rating 4, With Base Drawer Yes Refrigerator-Is very goodndI, Bitu Manihi, DeogHar District ! © Verified Purctrase - Jun, 2O23 baIi x Sih Just okay Review for: BEE Year 2O24 + Capacity-183 L + CoIor CameIIia"" PurpIe - Star Rating 4 With Base Drawer Yes"" Ovar aII good but both side ovar hiting Musara..., Murshidabad District @ Verified Purchase - May,"
image copy 5.png,86.55555555555556,Ask your agent questions Cc (*) SIeep Find your on a decision dream home,,,Ask your agent questions Cc (*) SIeep Find your on a decision dream home
WhatsApp Image 2025-12-08 at 18.40.22_db7a879e.jpg,30.885416666666668,,2.0,,"6 97 ® eens Peo ae a : soe SS SS SVVOUE TET ET KKEKK ekOOCO oa F 8 econ neteen op i wo O6 & F @ Oar = ‘We are Kener ncge 2 coisa o 97 8 cy ‘ere Deby moby Chat acter puyyu Iniond Ioverny ooh RUN OR Ope QALY IeI pire, Sn rumen Ree PE IMETTY Mate Bee, te mand out eak... Mend REN CUnINCHADAEE poIe OA, oS F @ Ore Rage net monn nen Vaseneg een oP Une. mana manson Dernarpararn 9O Oo CONE 6& 97 @ ae Aida comment"
WhatsApp Image 2025-12-08 at 18.40.13_3dfcd042.jpg,65.375,~ es. ean,,,~ es. ean
image copy 10.png,86.8157894736842,"""Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in peopIe. It is forgetting seIf ™ and finding time for others, It's discarding the meaningIess and stressing the trug",,,"""Christmas ts the spirit of givin oe a thought of getting. It is happinesSagm we see joy in peopIe. It is forgetting seIf ™ and finding time for others, It's discarding the meaningIess and stressing the trug"
WhatsApp Image 2025-12-08 at 19.41.10_8e80350d.jpg,65.66666666666667,ae Oo.,,,ae Oo.
WhatsApp Image 2025-12-08 at 18.40.21_2957522f.jpg,48.875,woe Gat ass: WHR AM Oon,,,woe Gat ass: WHR AM Oon
WhatsApp Image 2025-12-08 at 18.15.53_e0de8fdb.jpg,48.68181818181818,eens RYE Meh : 86 get aI sift tie Ae ra ncndtit Sati tt dat,,,eens RYE Meh : 86 get aI sift tie Ae ra ncndtit Sati tt dat
WhatsApp Image 2025-12-08 at 19.41.16_02abe5ef.jpg,55.888888888888886,,3.0,,eos @enrae- Leroy oe. bh' a aa Prasat 3 ae)
WhatsApp Image 2025-12-08 at 18.40.14_6e73218f.jpg,55.625,> Bad ne wm Sabeds seg a a ‘,,,> Bad ne wm Sabeds seg a a ‘
